# Output calculted for the following parameters:
# Energy	155 MeV
# Particle	proton

# And for the following materials
Material	Density		e-density	RadLength	I	EM-DEDX		Nucl-DEDX	Tot-DEDX	Mu_mass
		(g/cm³)		(e-/mm³)	(mm)		(eV)	(MeV.cm²/g)	(MeV.cm²/g)	(MeV.cm²/g)	(cm²/g)
VertcolC4exclcartilage		1.42		4.52885e+20	217.855		85.2598	5.00242		0	5.00242		0
Femurtotalbone		1.42		4.52817e+20	218.15		85.0962	5.0031		0	5.0031		0
Femurwholespecism		1.43		4.56006e+20	216.327		85.1778	5.00249		0	5.00249		0
Innominatefemale		1.46		4.64276e+20	208.526		86.9547	4.97554		0	4.97554		0
Humerustotalbone		1.46		4.64223e+20	208.869		86.7634	4.97655		0	4.97655		0
Claviclescapula		1.46		4.64223e+20	208.832		86.7765	4.97645		0	4.97645		0
Humeruscylindricalshaft		1.49		4.72848e+20	202.55		87.9157	4.95877		0	4.95877		0
Ribs10th		1.52		4.81468e+20	196.287		89.2228	4.94021		0	4.94021		0
Cranium		1.61		5.07006e+20	180.002		92.7615	4.88754		0	4.88754		0
Mandible		1.68		5.26981e+20	169.671		95.0201	4.8537		0	4.8537		0
Femurcylindricalshaft		1.75		5.4674e+20	159.921		97.5092	4.81856		0	4.81856		0
Corticalbone		1.92		5.95133e+20	140.601		102.82	4.74846		0	4.74846		0
Titanium		4.506		1.24718e+21	35.8708		233	3.7825		0	3.7825		0
